Clade,Family,Genus,Binomial,Bio01_mean,Bio04_mean,Bio05_mean,Bio06_mean,Bio12_mean,Bio15_mean,Bio16_mean,Bio17_mean
Serpentes,Colubridae,Senticolis,Senticolis triaspis,22.64673892,254.1728313,30.75636084,14.33069623,1366.897689,79.79717638,735.6151949,74.33120238
Serpentes,Colubridae,Pantherophis,Pantherophis guttatus,17.58126046,660.3476104,30.26129676,3.47420102,1327.476093,23.41020013,1078.30625,260.2583333
Serpentes,Colubridae,Pantherophis,Pantherophis slowinskii,19.86388501,629.9623279,31.79397429,6.234668421,1391.771354,15.16787748,985.5833333,230.1666667
Serpentes,Colubridae,Pantherophis,Pantherophis emoryi,17.11374573,736.4455016,32.81639582,0.448344478,628.2823788,50.57675306,526.9089104,31.0303517
Serpentes,Colubridae,Pituophis,Pituophis lineaticollis,18.64891794,151.0973649,27.01909061,10.26673271,1216.958942,92.51178954,1130.289421,249.8893331
Serpentes,Colubridae,Pituophis,Pituophis deppei,17.80746807,312.3495074,28.5244987,6.219161948,745.1521268,92.41894984,999.928158,461.7018725
Serpentes,Colubridae,Pituophis,Pituophis vertebralis,22.19885889,435.6407782,33.18661012,11.63855164,148.381042,90.56739114,1254.226682,490.6585394
Serpentes,Colubridae,Pituophis,Pituophis ruthveni,19.48070419,662.2190917,32.51257963,5.115010424,1336.922834,14.21027334,1109.899094,233.2244361
Serpentes,Colubridae,Pituophis,Pituophis melanoleucus,17.81949333,647.5835055,30.24569451,3.820031357,1332.190118,24.33274707,1127.728602,241.5894104
Serpentes,Colubridae,Pituophis,Pituophis catenifer,12.81055769,816.3760071,31.00401044,-3.857994458,477.8484805,54.94661164,909.7540268,76.14412452
Serpentes,Colubridae,Pantherophis,Pantherophis vulpinus,8.702828372,1012.408956,27.52605503,-10.46763122,841.3180406,38.90060176,214.8230911,51.65841984
Serpentes,Colubridae,Pantherophis,Pantherophis ramspotti,9.274670117,1059.289936,28.97387209,-10.98419082,820.9768387,47.44987349,555.6,70.24
Serpentes,Colubridae,Pantherophis,Pantherophis bairdi,18.97691349,634.2026747,32.70648616,3.01294925,491.580346,52.97870242,766.8882717,19.69075841
Serpentes,Colubridae,Pantherophis,Pantherophis spiloides,17.43855892,704.3168538,30.87258187,2.536065765,1354.334281,20.88966263,336.9839139,162.9361653
Serpentes,Colubridae,Pantherophis,Pantherophis obsoletus,13.78106982,827.1932706,29.74020703,-2.63979853,1095.60826,24.13252826,940.3618418,216.0341022
Serpentes,Colubridae,Pantherophis,Pantherophis alleghaniensis,19.18231975,705.2338588,33.2763068,3.78433994,973.4697361,28.76499849,778.3361616,91.60383697
Serpentes,Colubridae,Lampropeltis,Lampropeltis calligaster,15.9468042,801.1152319,31.55347065,-0.436437979,1110.540014,26.12664472,1686.876278,233.6347137
Serpentes,Colubridae,Lampropeltis,Lampropeltis extenuata,21.14716767,465.9948387,30.3309961,9.122334869,1317.007326,46.59413919,1207.212784,315.1210256
Serpentes,Colubridae,Lampropeltis,Lampropeltis nigra,15.80606072,760.5110324,30.30611744,0.31498177,1326.86153,18.21957871,203.3321966,13.63837954
Serpentes,Colubridae,Lampropeltis,Lampropeltis holbrooki,16.87444728,794.3650161,32.80616657,0.061296855,869.5419777,36.90437683,941.1916184,115.0323682
Serpentes,Colubridae,Lampropeltis,Lampropeltis splendida,18.27172857,547.42548,31.97311489,3.065445123,380.1924452,77.40476027,267.4117423,51.43647284
Serpentes,Colubridae,Lampropeltis,Lampropeltis getula,17.57992425,650.6678201,30.12218327,3.720508953,1254.43989,24.39670336,1049.564481,359.4546986
Serpentes,Colubridae,Lampropeltis,Lampropeltis californiae,17.04360657,673.4592743,33.78432824,2.580253855,361.1108463,68.74786173,1106.345247,390.9531839
Serpentes,Colubridae,Lampropeltis,Lampropeltis triangulum,11.40120319,891.1207607,29.03759536,-5.967883487,884.4441194,30.67070697,435.2798729,217.3076942
Serpentes,Colubridae,Lampropeltis,Lampropeltis gentilis,12.86847178,923.0435957,32.25260451,-5.739473027,599.2707369,54.53924999,963.1952474,152.8688078
Serpentes,Colubridae,Lampropeltis,Lampropeltis annulata,21.00435153,589.3007451,33.48593191,6.298913691,587.8170712,48.23230053,963.2580645,313.7741935
Serpentes,Colubridae,Lampropeltis,Lampropeltis alterna,19.64882306,599.9429382,33.2515245,3.707105531,358.6694045,62.26115674,975.7124152,61.153892
Serpentes,Colubridae,Lampropeltis,Lampropeltis elapsoides,17.90352238,654.9578218,30.44776825,3.829600218,1331.638975,23.99796888,936.7210262,191.7137914
Serpentes,Colubridae,Lampropeltis,Lampropeltis zonata,12.0243766,582.3664124,28.34569949,-0.195652781,858.1548295,81.29715508,297.9278126,23.43190988
Serpentes,Colubridae,Lampropeltis,Lampropeltis webbi,15.51052632,328.0171053,24.45,4.106578947,1302.842105,89.55263158,319.9910157,126.2463678
Serpentes,Colubridae,Lampropeltis,Lampropeltis pyromelana,13.62160687,692.2053175,30.49242464,-2.090923177,486.5029869,65.67663381,451.3529277,227.0754713
Serpentes,Colubridae,Lampropeltis,Lampropeltis polyzona,21.98042437,414.5307251,31.98129538,10.07118234,749.7703736,107.5665098,374.751072,184.2115642
Serpentes,Colubridae,Lampropeltis,Lampropeltis ruthveni,17.59491459,205.3693394,27.77167347,7.472244898,838.5711565,103.5766591,575.3478672,170.6518492
Serpentes,Colubridae,Lampropeltis,Lampropeltis mexicana,17.31325156,320.4920582,27.88361865,5.205212319,496.6278188,82.39174495,174.1793665,29.72499257
Serpentes,Colubridae,Lampropeltis,Lampropeltis micropholis,22.79683321,41.75980852,26.43386641,19.34182348,2294.373215,49.20239614,255.4007025,70.30639909
Serpentes,Colubridae,Lampropeltis,Lampropeltis abnorma,24.73246658,127.0606529,30.29094118,19.36937793,1934.34513,67.44660908,883.9626267,104.8288217
Serpentes,Colubridae,Cemophora,Cemophora coccinea,17.38354338,701.2427992,30.90860994,2.645113772,1280.47077,22.55063306,424.8902474,223.2403173
Serpentes,Colubridae,Bogertophis,Bogertophis subocularis,19.21115544,612.9015389,33.45871412,3.045915482,345.6597817,69.32857869,181.0717319,26.11451985
Serpentes,Colubridae,Bogertophis,Bogertophis rosaliae,21.8052883,473.3043682,33.14157885,10.87566912,171.7648485,92.3342446,124.1608537,1.033922719
Serpentes,Colubridae,Rhinocheilus,Rhinocheilus lecontei,18.12438853,670.8044854,33.63264178,2.512309763,420.2077456,63.04124647,217.7369007,33.33515986
Serpentes,Colubridae,Pseudelaphe,Pseudelaphe flavirufa,25.06348178,166.8450481,30.88494107,19.11613731,1569.302228,60.51705844,416.0333965,12.10650244
Serpentes,Colubridae,Arizona,Arizona elegans,18.36715058,685.9352805,33.89493948,2.490282248,402.0058571,63.17386481,199.4981341,34.82177312
Serpentes,Colubridae,Archelaphe,Archelaphe bella,15.94450315,518.817771,25.66750936,2.490930166,1641.305226,78.72534723,972.2895315,73.13557988
Serpentes,Colubridae,Ptyas,Ptyas dhumnades,16.60761096,722.8152725,29.53660953,1.274184799,1309.700245,66.305171,275.5767179,21.91169047
Serpentes,Colubridae,Ptyas,Ptyas major,17.16354676,660.3392373,29.0629977,2.776938649,1385.772281,66.49475093,435.2467589,217.5378872
Serpentes,Colubridae,Ptyas,Ptyas luzonensis,25.49185756,109.7355045,29.35805963,21.57710027,2489.280628,66.85322334,745.4288413,37.06197283
Serpentes,Colubridae,Ptyas,Ptyas multicinctus,21.52461837,359.4718155,28.26710101,11.90932815,1757.759093,78.27017238,607.4127189,67.70382894
Serpentes,Colubridae,Ptyas,Ptyas korros,22.28961098,306.4770332,29.45706727,12.77528626,1955.57062,72.96297909,656.3104634,74.58398275
Serpentes,Colubridae,Ptyas,Ptyas mucosa,22.9850656,410.8077664,33.13524587,10.94503766,1451.581422,92.56124422,430.4533518,24.01807457
Serpentes,Colubridae,Drymobius,Drymobius margaritiferus,24.62733979,157.6290727,30.37100126,18.78104719,1825.189937,65.67789779,532.4492856,194.4962639
Serpentes,Colubridae,Drymobius,Drymobius rhombifer,24.58619913,58.12699881,28.95613284,20.70999473,2346.362101,47.4310472,873.2617095,112.7867431
Serpentes,Colubridae,Dendrophidion,Dendrophidion percarinatum,24.01502746,51.4694491,27.6654613,20.97265744,2909.364961,45.87427612,1155.908563,280.7644121
Serpentes,Colubridae,Dendrophidion,Dendrophidion dendrophis,24.61503414,63.44248839,29.29476469,20.54717114,2305.451776,50.94719457,967.0070566,215.0947139
Serpentes,Colubridae,Chironius,Chironius laevicollis,22.00927382,192.8408609,28.4793849,14.2324954,1333.871802,64.08251508,662.7866718,98.31508254
Serpentes,Colubridae,Chironius,Chironius scurrulus,24.59909492,69.5092342,29.48774503,20.27019812,2230.947507,53.04307584,952.6896368,198.0051114
Serpentes,Colubridae,Chironius,Chironius fuscus,24.24775598,78.00403931,29.1667943,19.71933802,2196.121663,53.13194382,939.6436788,197.876167
Serpentes,Colubridae,Chironius,Chironius grandisquamis,23.14513602,57.3981589,27.11605715,19.73073938,2629.833862,50.43282147,1078.450498,241.6163055
Serpentes,Colubridae,Chironius,Chironius monticola,16.5478135,71.14976069,21.22661789,10.88355223,1791.137185,49.20435935,725.8431206,215.2127765
Serpentes,Colubridae,Chironius,Chironius quadricarinatus,23.22917615,210.3055366,30.41467078,15.23806153,1368.435763,60.80526644,637.2090829,91.75981915
Serpentes,Colubridae,Chironius,Chironius flavolineatus,24.79925444,121.5808151,31.02958217,18.83423251,1562.314396,69.71765109,775.8472645,65.48479502
Serpentes,Colubridae,Chironius,Chironius bicarinatus,22.2685716,220.4624142,29.30777234,14.23794002,1389.827685,54.71609993,623.9347857,131.0632236
Serpentes,Colubridae,Chironius,Chironius carinatus,24.75506295,77.5317051,29.9378674,20.16684834,2016.295665,58.35335379,885.6125522,165.896937
Serpentes,Colubridae,Chironius,Chironius exoletus,23.94884746,106.252971,29.43507106,18.60351505,1891.487669,58.13878719,833.0803422,157.8259397
Serpentes,Colubridae,Chironius,Chironius multiventris,24.64816266,61.25296882,29.37627627,20.62890865,2295.374788,50.94043167,963.661261,212.923363
Serpentes,Colubridae,Chironius,Chironius laurenti,24.90759086,141.8489701,30.87155246,17.46554782,1535.103333,63.26985027,732.6504904,76.99570087
Serpentes,Colubridae,Chironius,Chironius foveatus,22.02915567,183.9564171,28.13566399,14.9830953,1268.654219,65.56723714,644.986735,92.34723059
Serpentes,Colubridae,Oxybelis,Oxybelis aeneus,23.92250144,114.3813487,29.71354537,18.34086941,1815.453885,62.93660899,1127.748066,241.7695228
Serpentes,Colubridae,Oxybelis,Oxybelis fulgidus,24.52392401,67.01438652,29.30321713,20.35185353,2218.680388,53.72190295,92.71394264,19.60350375
Serpentes,Colubridae,Oxybelis,Oxybelis wilsoni,26.6554878,113.5280488,29.59512195,23.375,2547.780488,66.54878049,980.9999034,125.2817753
Serpentes,Colubridae,Leptophis,Leptophis depressirostris,23.38010289,46.94897755,27.12955336,20.02774416,2437.60442,57.84220855,763.6551103,13.05980358
Serpentes,Colubridae,Leptophis,Leptophis ahaetulla,23.86420459,123.7515882,29.57984838,18.21414046,1844.407849,58.27078231,738.8100155,113.4636003
Serpentes,Colubridae,Opheodrys,Opheodrys vernalis,7.190431602,960.7303165,25.43973992,-11.20264086,854.1196203,27.27349623,252.5431128,177.4941785
Serpentes,Colubridae,Opheodrys,Opheodrys aestivus,17.14425272,723.031738,31.23944599,1.953581265,1168.222451,24.60962785,599.5747863,322.8568376
Serpentes,Colubridae,Scolecophis,Scolecophis atrocinctus,25.26987596,71.44164549,30.4778536,20.84085713,1664.399141,88.04278098,924.1319333,27.79365423
Serpentes,Colubridae,Tantilla,Tantilla armillata,24.66510295,77.94156431,30.05214563,20.22662011,1666.841665,79.60472695,877.0438675,48.2963772
Serpentes,Colubridae,Tantilla,Tantilla vermiformis,26.4164513,65.37891242,31.1559135,22.71130653,1676.899258,88.08189758,962.423307,23.70546183
Serpentes,Colubridae,Tantilla,Tantilla impensa,23.65087382,150.8858652,29.40725946,17.78276679,2602.009859,52.11935856,1121.289322,224.5325203
Serpentes,Colubridae,Tantilla,Tantilla planiceps,19.24960695,477.9715772,31.82359204,8.028327633,256.2997076,89.55679426,161.3147431,3.265253274
Serpentes,Colubridae,Tantilla,Tantilla gracilis,17.76785526,760.9966166,32.99630157,1.523565794,953.3534146,29.84624247,334.3896564,152.1361529
Serpentes,Colubridae,Tantilla,Tantilla hobartsmithi,17.82668788,748.2617315,34.54736483,1.03369535,335.1483476,55.85626861,158.3323561,29.24638321
Serpentes,Colubridae,Tantilla,Tantilla nigriceps,16.77572245,767.9395333,33.35656133,-0.424772571,482.9193525,59.1160899,225.297647,46.13389018
Serpentes,Colubridae,Tantilla,Tantilla relicta,21.40202983,452.6033873,30.28431412,9.855108107,1326.640521,45.64940102,567.9381808,171.3022636
Serpentes,Colubridae,Tantilla,Tantilla coronata,17.03367575,700.5328204,30.43745481,2.334862074,1343.079217,19.52667032,430.765934,240.7578958
Serpentes,Colubridae,Conopsis,Conopsis nasus,17.79090374,312.6598514,28.98883978,5.705023338,633.025871,99.52736339,433.8149867,17.05800831
Serpentes,Colubridae,Conopsis,Conopsis biserialis,17.85537607,205.9807334,27.46636788,7.89247354,824.1335048,99.37472525,534.4390224,21.97457631
Serpentes,Colubridae,Pseudoficimia,Pseudoficimia frontalis,21.69096089,201.2358201,30.17552159,12.60454633,980.6663553,108.2343931,370.3448147,32.37892408
Serpentes,Colubridae,Sympholis,Sympholis lippiens,24.99279664,285.8683755,31.05871243,16.4561147,1021.82343,117.4311351,800.65144,11.89000439
Serpentes,Colubridae,Ficimia,Ficimia streckeri,23.15285816,435.3568287,32.87571477,11.24120724,804.2638055,61.41897176,934.6474359,120.9679487
Serpentes,Colubridae,Gyalopion,Gyalopion canum,18.39579452,619.6053739,32.9612814,2.376087983,372.8971461,71.22338599,521.5092284,17.03073901
Serpentes,Colubridae,Stenorrhina,Stenorrhina freminvillei,24.65092568,124.1814427,30.23824614,19.15448782,1563.379359,75.78798878,809.821779,73.64418785
Serpentes,Colubridae,Sonora,Sonora semiannulata,18.29840211,714.3257255,34.18806111,2.026481827,451.2758532,56.29064582,205.3012112,47.22230518
Serpentes,Colubridae,Sonora,Sonora aemula,20.28866468,401.8033709,31.00443618,7.726029062,955.79921,103.819121,711.9149404,25.19834135
Serpentes,Colubridae,Sonora,Sonora occipitalis,23.15834868,731.7668005,40.26171773,7.063788024,166.9906644,60.20190396,81.87424812,6.33651273
Serpentes,Colubridae,Sonora,Sonora palarostris,23.25587863,612.6219922,37.13151472,8.615923657,257.6528341,88.69438297,178.9912374,6.966395047
Serpentes,Colubridae,Sonora,Sonora mutabilis,19.18716835,250.249638,29.58989057,8.107742424,888.9142256,109.4876768,647.148367,15.81296296
Serpentes,Colubridae,Sonora,Sonora michoacanensis,19.71902201,169.6196968,29.08396674,10.33692076,952.8769573,103.1725575,615.4380321,17.05961619
Serpentes,Colubridae,Sonora,Sonora straminea,22.86897362,569.4905071,36.08733436,9.594837583,198.59333,81.81316606,127.4855772,4.385814741
Serpentes,Colubridae,Drymarchon,Drymarchon couperi,20.57008413,512.0098683,30.38627273,8.399372569,1363.209039,37.29030675,850.0216519,152.2538712
Serpentes,Colubridae,Drymarchon,Drymarchon corais,24.37110097,98.93789868,29.7961001,19.23126024,1907.180134,59.66513958,507.4813698,82.85618279
Serpentes,Colubridae,Drymoluber,Drymoluber brazili,24.86099706,129.536264,31.5881899,18.4299196,1378.84142,75.11789607,956.0114526,242.9474269
Serpentes,Colubridae,Drymoluber,Drymoluber dichrous,24.35622118,76.49361082,29.28465727,19.87567509,2141.106122,54.18377031,718.4804091,36.45640814
Serpentes,Colubridae,Leptodrymus,Leptodrymus pulcherrimus,25.70917744,73.47697679,30.76708547,21.4487903,1739.092683,84.45594725,219.6801802,37.88738739
Serpentes,Colubridae,Mastigodryas,Mastigodryas boddaerti,24.42745158,77.73780977,29.55143371,19.81188513,2040.989587,58.69205027,635.7028862,155.1850594
Serpentes,Colubridae,Palusophis,Palusophis bifossatus,24.54997455,122.1983492,30.38096134,18.978147,1820.715101,59.25746933,85.5885548,0
Serpentes,Colubridae,Mastigodryas,Mastigodryas melanolomus,24.65401637,129.1650118,30.03063998,19.27507284,1856.214729,71.22130451,445.0464159,18.64369889
Serpentes,Colubridae,Mastigodryas,Mastigodryas dorsalis,21.41467185,112.5917346,27.40356355,15.72919983,1573.792868,69.75546689,772.7755843,202.2898543
Serpentes,Colubridae,Rhinobothryum,Rhinobothryum lentiginosum,25.27831176,57.65878798,29.9744773,21.29693272,2254.317462,52.90438483,951.4482366,184.8099562
Serpentes,Colubridae,Spilotes,Spilotes pullatus,24.39814421,108.63864,29.90515568,19.11447111,1915.057965,57.30731133,842.3536615,160.1341049
Serpentes,Colubridae,Spilotes,Spilotes sulphureus,24.85929924,79.99132988,29.96405589,20.33295018,2111.012719,54.7975236,909.1385877,184.5915031
Serpentes,Colubridae,Phrynonax,Phrynonax poecilonotus,24.25868859,67.96242013,28.98058808,20.05043221,2218.798369,53.22942199,100.5773786,6.344794493
Serpentes,Colubridae,Masticophis,Masticophis schotti,20.98839634,433.7001835,31.42439865,8.468086472,671.2741604,63.86695235,566.264574,128.8475336
Serpentes,Colubridae,Masticophis,Masticophis taeniatus,13.42211988,759.633695,31.48781639,-2.726435137,358.3576191,51.47458686,908.7567568,253.0540541
Serpentes,Colubridae,Masticophis,Masticophis flagellum,17.71332419,687.9842245,32.72735276,2.163178154,683.1942571,51.55928966,936.053177,126.8260507
Serpentes,Colubridae,Masticophis,Masticophis bilineatus,19.82000379,509.5067601,32.95983284,6.253954147,635.9887119,91.68816847,1408.611111,181.5
Serpentes,Colubridae,Masticophis,Masticophis lateralis,15.06908276,556.4924046,30.68574811,2.810058354,600.2842995,84.65846992,793.7794118,190.5
Serpentes,Colubridae,Coluber,Coluber constrictor,12.77269331,809.9972428,29.8158813,-3.323294848,829.853379,38.64569114,311.7068738,119.2338295
Serpentes,Colubridae,Trimorphodon,Trimorphodon vilkinsonii,18.31101298,687.7769592,34.38529097,1.43283325,306.4090169,78.86595942,182.1826136,21.06750849
Serpentes,Colubridae,Trimorphodon,Trimorphodon lambda,20.58678753,699.8277976,36.88923049,4.720385181,321.4921345,73.5935086,202.6504612,12.99217921
Serpentes,Colubridae,Trimorphodon,Trimorphodon biscutatus,19.92984873,628.9148615,35.00212979,5.600987876,372.987143,75.32033681,231.8183571,12.72424405
Serpentes,Colubridae,Trimorphodon,Trimorphodon lyrophanes,19.27238694,586.6100174,34.10484932,6.269825899,198.0658236,77.02586718,115.8244202,4.473566058
Serpentes,Colubridae,Salvadora,Salvadora hexalepis,18.63793608,675.2580484,34.80882614,3.46756303,291.0671344,71.69754702,178.0505904,14.05443982
Serpentes,Colubridae,Phyllorhynchus,Phyllorhynchus decurtatus,21.41380883,677.6150733,37.22117192,6.517909998,217.467047,71.04607688,417.3600334,74.72966208
Serpentes,Colubridae,Phyllorhynchus,Phyllorhynchus browni,22.6144345,583.9306215,36.1155235,8.403757679,390.2831945,92.84769145,309.76119,2.709958655
Serpentes,Colubridae,Symphimus,Symphimus leucostomus,24.82424534,135.5068545,30.88007248,18.27525733,1029.171209,103.9450249,676.6196846,16.91306527
Serpentes,Colubridae,Salvadora,Salvadora grahamiae,18.87504438,628.3914936,32.80183046,3.647256233,517.3083076,58.75147408,251.3446883,54.81312241
Serpentes,Colubridae,Salvadora,Salvadora mexicana,23.42668336,146.3169505,30.31267017,15.77393649,1155.151154,110.3194159,809.0215635,11.714352
Serpentes,Colubridae,Dasypeltis,Dasypeltis confusa,24.27761863,119.4933959,31.5484916,18.41361614,1551.355392,70.45942814,773.6990625,43.34033748
Serpentes,Colubridae,Dasypeltis,Dasypeltis atra,21.27638733,111.9152972,28.56970031,15.50113227,1262.86795,62.72129361,600.9087259,72.55168452
Serpentes,Colubridae,Dasypeltis,Dasypeltis latericia,28.38505637,264.0730353,39.40258101,17.60976014,882.8978059,123.1729651,717.7899836,0.520169017
Serpentes,Colubridae,Dasypeltis,Dasypeltis gansi,26.87203722,201.9650724,36.8012477,18.17111961,923.5155619,110.98608,666.1432087,1.336960845
Serpentes,Colubridae,Dasypeltis,Dasypeltis fasciata,25.47076474,148.9634328,33.11335391,18.71578369,1394.086679,79.60921761,727.9240026,56.42532015
Serpentes,Colubridae,Dasypeltis,Dasypeltis sahelensis,27.67024261,314.8161874,38.87834901,15.55014984,418.1238336,138.1733109,394.5070156,0.307098984
Serpentes,Colubridae,Dasypeltis,Dasypeltis scabra,22.7397664,227.3910393,31.70769308,13.55586123,829.4416767,89.66476176,461.9950485,22.51019705
Serpentes,Colubridae,Toxicodryas,Toxicodryas pulverulenta,23.55181301,83.3967544,29.246888,18.75002919,1664.181537,57.02161787,732.5174846,88.79013585
Serpentes,Colubridae,Dipsadoboa,Dipsadoboa unicolor,24.14153453,96.89346804,30.11886168,19.29349961,1686.143746,58.18847217,766.1867771,91.41105959
Serpentes,Colubridae,Dipsadoboa,Dipsadoboa shrevei,21.39229229,150.3393493,30.32174619,13.5050782,1256.846852,87.200274,677.7040055,4.348793722
Serpentes,Colubridae,Crotaphopeltis,Crotaphopeltis tornieri,22.13125835,147.6332526,29.51579908,14.61972083,1156.68973,90.54408828,687.3770959,20.56180405
Serpentes,Colubridae,Crotaphopeltis,Crotaphopeltis hotamboeia,23.65053904,192.6038269,32.26157383,15.34216406,1089.219081,88.31750595,611.1059216,28.74823789
Serpentes,Colubridae,Telescopus,Telescopus fallax,16.33680981,828.3359519,34.17003155,0.318725805,506.5590898,67.76134306,244.5608645,32.44729955
